City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
bithur,26.6333,80.2833,19.0,72,40,2.94,IN,19800
along,28.1667,94.7667,11.86,62,0,0.98,IN,19800
yabrud,33.9674,36.6574,12.0,76,75,7.2,SY,7200
haapiti,-17.5667,-149.8667,27.0,74,20,1.03,PF,-36000
jatai,-17.8814,-51.7144,30.08,56,77,2.03,BR,-10800
sassandra,4.95,-6.0833,27.11,81,18,4.27,CI,0
mattru,7.6244,-11.8332,29.63,61,75,3.97,SL,0
nhulunbuy,-12.2333,136.7667,25.0,94,75,3.09,AU,34200
ranau,5.9538,116.6641,24.0,94,20,2.06,MY,28800
arbuzynka,47.9097,31.3196,3.84,95,100,5.87,UA,7200
margate,51.3813,1.3862,8.33,87,94,0.45,GB,0
coahuayana,18.7333,-103.6833,28.0,39,1,2.45,MX,-21600
mayskiy,47.6931,40.1025,8.0,100,90,4.0,RU,10800
benguela,-12.5763,13.4055,25.43,77,1,3.95,AO,3600
sitka,57.0531,-135.33,2.0,100,90,0.86,US,-32400
panama city,8.9936,-79.5197,32.22,55,20,4.63,PA,-18000
saint-georges,12.0564,-61.7485,29.0,70,40,11.32,GD,-14400
maarianhamina,60.0973,19.9348,-5.0,80,75,2.57,AX,7200
taoudenni,22.6783,-3.9836,29.0,12,21,4.2,ML,0
coihaique,-45.5752,-72.0662,30.0,28,0,2.06,CL,-10800
gunjur,13.2019,-16.7339,28.0,47,0,5.66,GM,0
praia,14.9215,-23.5087,22.0,68,90,10.8,CV,-3600
nesna,66.1967,13.0213,-5.0,80,0,1.54,NO,3600
marsaxlokk,35.8419,14.5431,15.56,94,0,2.57,MT,3600
bandarbeyla,9.4942,50.8122,23.46,67,0,6.13,SO,10800
pundaguitan,6.3711,126.1689,27.23,77,60,5.82,PH,28800
diffa,13.3154,12.6113,23.31,20,0,3.74,NE,3600
back mountain,41.3359,-75.9963,3.33,59,68,0.45,US,-18000
fayaoue,-20.65,166.5333,26.95,82,13,8.27,NC,39600
visnes,59.3556,5.2242,-6.0,63,0,4.63,NO,3600
pacific grove,36.6177,-121.9166,12.22,76,1,2.57,US,-28800
zhangye,38.9342,100.4517,-2.67,75,30,2.76,CN,28800
marrakesh,31.6315,-8.0083,17.0,63,40,3.09,MA,3600
zaysan,47.4667,84.8667,-7.29,92,100,0.25,KZ,21600
tirat karmel,32.7617,34.9719,15.0,94,0,1.03,IL,7200
santa fe,-31.6333,-60.7,30.0,45,1,2.68,AR,-10800
majene,-3.5403,118.9707,25.82,81,100,2.29,ID,28800
faya,18.3851,42.4509,17.0,59,0,3.6,SA,10800
lorengau,-2.0226,147.2712,27.89,71,100,2.82,PG,36000
sidney,-33.8679,151.2073,23.33,78,75,3.09,AU,39600
rock sound,24.9,-76.2,19.52,54,0,2.34,BS,-18000
mount gambier,-37.8333,140.7667,13.0,94,40,6.17,AU,37800
xaltianguis,17.0667,-99.8333,29.0,65,1,2.06,MX,-21600
salvador,13.8333,-88.9167,31.0,42,0,3.6,SV,-21600
hobyo,5.3505,48.5268,24.87,78,4,8.15,SO,10800
nha trang,12.25,109.1833,24.0,73,40,3.09,VN,25200
umm kaddadah,13.6017,26.6876,22.69,21,77,6.56,SD,7200
gayny,60.3071,54.3241,-9.24,97,100,3.33,RU,18000
santa marta,11.2408,-74.199,30.56,69,15,5.6,CO,-18000
yarmouth,41.7057,-70.2286,4.0,65,20,4.63,US,-18000
grand-santi,4.25,-54.3833,28.41,66,93,3.26,GF,-10800
kula,38.5473,28.6498,8.53,72,0,0.91,TR,10800
mitu,1.1983,-70.1733,23.9,96,94,1.2,CO,-18000
fukue,32.6881,128.8419,9.29,53,1,4.08,JP,32400
kijang,35.2442,129.2139,-3.0,59,0,2.57,KR,32400
manzhouli,49.6,117.4333,-12.93,94,87,4.17,CN,28800
waingapu,-9.6567,120.2641,25.54,84,100,3.87,ID,28800
fernley,39.608,-119.2518,2.78,48,0,0.45,US,-28800
calgary,51.0501,-114.0853,-1.0,47,90,6.17,CA,-25200
paamiut,61.994,-49.6678,-9.14,79,0,4.32,GL,-10800
grindavik,63.8424,-22.4338,3.0,87,75,11.32,IS,0
dunedin,-45.8742,170.5036,11.11,76,10,0.89,NZ,46800
riberalta,-10.9833,-66.1,31.0,70,75,0.74,BO,-14400
catuday,16.2923,119.8062,24.3,76,8,4.72,PH,28800
nagorsk,59.3172,50.8078,-4.0,98,100,3.39,RU,10800
okahandja,-21.9833,16.9167,28.0,26,92,3.6,NA,7200
elizabeth city,36.2946,-76.2511,10.0,36,1,4.63,US,-18000
junnar,19.2,73.8833,19.83,40,0,1.95,IN,19800
bantry,51.6833,-9.45,7.0,100,75,2.57,IE,0
atagay,55.1033,99.3875,-11.05,94,99,2.88,RU,28800
cap malheureux,-19.9842,57.6142,26.67,76,0,2.68,MU,14400
meadow lake,34.8014,-106.5436,10.56,31,20,5.14,US,-25200
alexandria,31.2156,29.9553,18.0,82,40,7.2,EG,7200
burnie,-41.0667,145.9167,16.92,84,96,5.69,AU,39600
maceio,-9.6658,-35.7353,31.0,62,40,7.2,BR,-10800
urucara,-2.5364,-57.76,33.83,50,84,1.89,BR,-14400
torata,-17.0769,-70.8433,20.98,48,38,4.99,PE,-18000
uglich,57.5275,38.3317,-11.78,96,91,1.98,RU,10800
hyeres,43.1167,6.1167,14.0,82,90,5.14,FR,3600
necochea,-38.5473,-58.7368,25.0,49,0,6.69,AR,-10800
sur,22.5667,59.5289,19.23,73,0,1.14,OM,14400
kidal,18.4411,1.4078,25.16,15,7,4.22,ML,0
sasaram,24.951,84.0149,15.52,52,0,2.49,IN,19800
popondetta,-8.7537,148.2534,23.29,93,67,1.29,PG,36000
correntina,-13.3433,-44.6367,31.38,47,49,1.44,BR,-10800
shingu,33.7333,135.9833,1.9,84,8,2.67,JP,32400
westport,41.1415,-73.3579,3.89,52,1,7.2,US,-18000
rundu,-17.9333,19.7667,24.4,60,88,1.04,NA,7200
rantepao,-2.9701,119.8978,19.68,87,100,1.03,ID,28800
kavaratti,10.5669,72.642,27.53,70,72,3.61,IN,19800
steinkjer,64.193,11.3851,-5.56,85,20,6.17,NO,3600
brigantine,39.4101,-74.3646,5.56,52,1,8.75,US,-18000
gujan-mestras,44.6333,-1.0667,13.0,94,90,2.06,FR,3600
ginda,30.6945,78.4932,2.18,88,100,1.97,IN,19800
sale,34.0389,-6.8166,16.11,82,80,2.06,MA,3600
antalaha,-14.9003,50.2788,25.21,87,42,1.68,MG,10800
egvekinot,66.3167,-179.1667,-33.91,82,65,8.87,RU,43200
turukhansk,65.8167,87.9833,-25.66,90,100,2.35,RU,25200
gazanjyk,39.2446,55.5154,11.86,46,38,2.5,TM,18000
sharjah,25.3573,55.4033,22.0,82,0,1.54,AE,14400
chengde,40.9725,117.9361,-4.18,73,0,1.14,CN,28800
antofagasta,-23.65,-70.4,22.22,68,20,6.69,CL,-10800
wewak,-3.5534,143.6268,26.14,82,63,3.16,PG,36000
tessalit,20.1986,1.0114,25.3,14,0,4.6,ML,0
oistins,13.0667,-59.5333,29.0,58,40,9.26,BB,-14400
kasongo-lunda,-6.4667,16.8167,23.3,79,9,1.1,CD,3600
ormara,25.2088,64.6357,21.07,46,0,3.08,PK,18000
kloulklubed,7.0419,134.2556,26.0,89,75,3.09,PW,32400
juarez,31.7333,-106.4833,18.89,29,20,7.2,MX,-25200
fairbanks,64.8378,-147.7164,-22.0,77,90,2.06,US,-32400
ambulu,-8.345,113.6058,24.72,87,91,0.46,ID,25200
kokopo,-4.352,152.2633,25.88,82,100,3.1,PG,36000
mandalgovi,45.7625,106.2708,-8.78,87,1,4.81,MN,28800
gongzhuling,43.5008,124.8198,-10.07,92,0,4.38,CN,28800
abaza,52.655,90.0928,-6.71,93,100,1.77,RU,25200
vilcun,-38.65,-72.2333,35.0,34,0,3.09,CL,-10800
vuktyl,63.8567,57.3094,-14.23,93,99,2.16,RU,10800
ibra,22.6906,58.5334,14.79,81,0,0.58,OM,14400
bama,11.5221,13.6856,25.02,19,6,5.38,NG,3600
laguna,38.421,-121.4238,9.44,65,1,4.12,US,-28800
makat,47.6469,53.3463,3.8,83,95,4.24,KZ,18000
tucuman,-26.8241,-65.2226,30.0,45,20,2.57,AR,-10800
bintulu,3.1667,113.0333,24.0,100,40,2.06,MY,28800
sechelt,49.4664,-123.7694,5.56,95,100,1.87,CA,-28800
santa maria,-29.6842,-53.8069,26.0,61,75,3.6,BR,-10800
marzuq,14.4,46.4667,15.85,62,0,1.76,YE,10800
maputo,-25.9653,32.5892,28.0,83,75,2.57,MZ,7200
antsohihy,-14.8796,47.9875,25.47,90,100,1.12,MG,10800
yerbogachen,61.2767,108.0108,-28.54,87,93,0.34,RU,28800
avila,40.5833,-5.0,5.0,93,99,1.34,ES,3600
jamundi,3.2607,-76.535,31.0,48,40,1.03,CO,-18000
buchanan,5.8808,-10.0467,30.0,74,75,4.12,LR,0
changde,29.0464,111.6783,7.41,90,99,2.92,CN,28800
kovdor,67.5662,30.4758,-14.04,96,62,2.42,RU,10800
kiama,-34.6833,150.8667,20.56,87,48,0.45,AU,39600
mangrol,21.1167,70.1167,20.13,44,0,4.95,IN,19800
wajir,1.7471,40.0573,32.0,35,1,4.08,KE,10800
kongolo,-5.3833,27.0,22.82,88,78,0.18,CD,7200
mayo,38.8876,-76.5119,6.67,38,1,5.14,US,-18000
port lincoln,-34.7333,135.8667,14.11,65,0,9.57,AU,37800
